5512677	A
4120494	A
4549436	A
1765313	A
3012446	A
2602285	A
4040949	A
4259135	A
3920877	A
5782231	A
1150575	A
2861411	A
3616422	A
1163422	A
1009874	A
3702956	A
3815232	A
4585113	A
4622056	A
4999546	A
5502795	A
1975986	A
3122259	A
3889700	A
5056418	A
2786962	A
3953017	A
2495278	A
5973102	A
5422068	A
2801782	A
5488857	A
1597055	A
4939051	A
2883001	A
2131887	A
3052910	A
5174776	A
2110002	A
2048731	A
1111670	A
1603854	A
4426848	A
4097637	A
1646958	A
2384928	A
5923663	A
3766156	A
5173991	A
4931070	A
2038418	A
3958684	A
3101704	A
4669046	A
4635486	A
5651050	A
3353534	A
2748259	A
5725214	A
5794367	A
1946989	A
2155845	A
3280968	A
4123069	A
4197644	A
2680749	A
3825798	A
2389225	A
1878407	A
3027574	A
4710044	A
4478150	A
4912014	A
4961711	A
2114044	A
1129613	A
5764667	A
4394555	A
1676430	A
1451038	A
3025557	A
5312593	A
1198016	A
3341383	A
4542970	A
5758693	A
4586298	A
3833822	A
5043829	A
2553215	A
4645181	A
1345382	A
5559570	A
5482380	A
1172668	A
1698854	A
4607340	A
4425760	A
1813399	A
4389537	A
4963353	A
4070040	A
3687119	A
4108263	A
4591875	A
4200792	A
5801323	A
2696663	A
4398360	A
4425582	A
4942934	A
3947097	A
1639542	A
2071740	A
4455435	A
1231745	A
2677862	A
4504398	A
3370302	A
2534419	A
5142214	A
2631068	A
2053164	A
5037610	A
4601388	A
2582913	A
1242386	A
1395963	A
5295541	A
3621417	A
1328877	A
3173013	A
3078947	A
1502222	A
3217160	A
1933591	A
3298015	A
1510753	A
4438992	A
3331007	A
1537248	A
1677092	A
5874398	A
5057583	A
5442090	A
1262226	A
2381278	A
5310333	A
5393925	A
3322786	A
4180658	A
3563528	A
4684717	A
3056400	A
1144252	A
3044499	A
1088365	A
3368566	A
4928267	A
2579242	A
1442714	A
2620926	A
1239801	A
4088752	A
4509057	A
2310322	A
2633113	A
2426908	A
2140647	A
2042458	A
5590812	A
4597127	A
2308368	A
3134877	A
1599222	A
2925856	A
5348012	A
5826553	A
3646511	A
1256585	A
5545489	A
2403880	A
4714126	A
2140581	A
1965991	A
3975609	A
3010541	A
3950835	A
5512753	A
1024274	A
1851124	A
5665267	A
3479295	A
3196647	A
2842923	A
3753953	A
4803146	A
4284247	A
2231188	A
3467494	A
5636413	A
1559016	A
3497987	A
5992284	A
1748561	A
5324787	A
2585840	A
4555834	A
1861975	A
2871067	A
4998585	A
3417523	A
3037898	A
2659192	A
2337803	A
5744950	A
2127746	A
3368089	A
1877320	A
5978202	A
1449297	A
